Hour,Baseline_kW
944,71.46242295571766
945,73.21278003770738
946,75.98056541743992
947,79.9547700269381
948,79.9585561289213
949,79.9585561289213
950,79.9585561289213
951,79.9585561289213
952,79.9585561289213
953,79.9585561289213
954,79.9585561289213
955,79.9585561289213
956,79.9585561289213
957,75.02967994927334
958,74.42362401524296
959,69.50456735551532
960,55.30571004462728
961,45.38413437857357
962,40.20844965476658
963,39.91859339661255
964,41.295082197522326
965,49.501585228753946
966,55.85817113199182
967,67.97243350092299
968,72.35218614101886
969,74.38167545056538
970,77.02060357987527
971,79.35951568726176
972,79.9585561289213
973,79.9585561289213
974,79.9585561289213
975,79.9585561289213
976,79.9585561289213
977,79.9585561289213
978,79.9585561289213
979,79.9585561289213
980,79.9585561289213
981,77.1274605357686
982,74.12258358300149
983,70.63888342003935
984,63.916962567753664
985,51.683077726498425
986,44.39051578068114
987,39.141924028312616
988,40.39944491303586
989,44.049894097699934
990,60.63150682391636
991,69.74435533190982
992,70.5934476954057
993,74.69056253828026
994,78.76107072733629
995,79.9585561289213
996,79.9585561289213
997,79.9585561289213
998,79.9585561289213
999,79.9585561289213
1000,79.9585561289213
1001,79.9585561289213
1002,79.9585561289213
1003,79.9585561289213
1004,78.42285210791404
1005,78.82771315676861
1006,72.90917323599592
1007,71.547362482558
1008,63.183714411257455
1009,51.52689476396093
1010,48.3584937568398
1011,45.41323203762648
1012,44.43781104192647
1013,51.66819781933438
1014,63.68953313735237
1015,68.53584965728012
1016,72.83116693452402
1017,73.82653348558452
1018,75.87274519474721
1019,79.9585561289213
1020,79.9585561289213
1021,79.9585561289213
1022,79.9585561289213
1023,79.9585561289213
1024,79.9585561289213
1025,79.9585561289213
1026,79.9585561289213
1027,79.9585561289213
1028,79.9585561289213
1029,76.98802976464465
1030,73.4360699637399
1031,69.12064506041133
1032,62.789679874613725
1033,55.962896054752
1034,45.16762027429403
1035,41.24722186873137
1036,46.8878021832156
1037,57.134439198454295
1038,58.39203136828767
1039,67.44636980477483
1040,73.29315901733634
1041,73.6381914770881
1042,78.76651268784644
1043,79.9585561289213
1044,79.9585561289213
1045,79.9585561289213
1046,79.9585561289213
1047,79.9585561289213
1048,79.9585561289213
1049,79.9585561289213
1050,79.9585561289213
1051,79.9585561289213
1052,79.9585561289213
1053,77.00722905378362
1054,72.95719184438366
1055,70.85247761800633
1056,61.38098884509214
1057,46.56928490963261
1058,47.04778838953708
1059,44.65257120190492
1060,43.408930091622736
1061,50.31807354145751
1062,59.065252281345494
1063,69.20689576102535
1064,72.77627826424548
1065,74.78974029086157
1066,76.29205692729303
1067,79.9585561289213
1068,79.9585561289213
1069,79.9585561289213
1070,79.9585561289213
1071,79.9585561289213
1072,79.9585561289213
1073,79.9585561289213
1074,79.9585561289213
1075,79.9585561289213
1076,79.9585561289213
1077,77.90915501600634
1078,74.5469093943923
1079,70.86298945206819
1080,64.42129441867007
1081,45.949521097480236
1082,42.12778067575668
1083,44.194749793332846
